legacy_delivery_surface_report_version=1
mode=report
source_files_scanned=3056
built_images_scanned=0
source_contents_emitted=false
rancher_fleet_runtime_policy=prohibited
historical_allowlist_is_runtime_authorization=false
generated_chart=helm_template
generated_cli=go_run
summary scope=active_runtime signature=banned_rancher_fleet files=0 matches=0
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/deployment.yaml matches=126
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/gke/backendconfig.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/gke/frontendconfig.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/gke/ingress.yaml matches=8
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/gke/managedcertificate.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/grpcroute.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/hpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/httproute.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/ingress-grpc.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/ingress.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/networkpolicy.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/openshift/route.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/role.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/service.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/crds/crd-application.yaml matches=65
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/crds/crd-applicationset.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/crds/crd-appproject.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/deployment.yaml matches=30
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/networkpolicy.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/role.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/service.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/dex/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/networkpolicy-default-deny.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis-secret-init/job.yaml matches=8
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis-secret-init/role.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis-secret-init/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis-secret-init/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/deployment.yaml matches=11
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/health-configmap.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/metrics.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/networkpolicy.yaml matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/service.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/redis/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/values.yaml matches=335
surface scope=active_runtime signature=legacy_argo path=deploy/chart/images.txt matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/bootstrap-secret.yaml matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/crd-cluster.yaml matches=5
